INFO:root:Number of parameters: 369498
INFO:root:168: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:169: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:170: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:171: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:172: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:173: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:174: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:175: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:176: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:177: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:178: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:179: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:180: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:181: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:182: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:183: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:184: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:185: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:186: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:187: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:188: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:189: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:190: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:191: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:192: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:193: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:194: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:195: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:196: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:197: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:198: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:199: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:200: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:201: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:202: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:203: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:204: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:205: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:206: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
